Name,Period(T)[s],Length(L)[mm]x,Heigh(H9)[mm]z
RW001,1.571,3851,39
RW002,1.3959999999999999,3043,30
RW003,1.2569999999999999,2465,25
RW004,1.1419999999999999,2037,20
RW005,1.0469999999999999,1712,17
RW006,0.96699999999999997,1458,15
RW007,0.93100000000000005,1352,15
RW008,0.89800000000000002,1257,15
RW009,0.86699999999999999,1172,15
RW010,0.83799999999999997,1095,15
RW011,0.81100000000000005,1026,15
RW012,0.78500000000000003,963,15
RW013,0.76200000000000001,905,15
RW014,0.73899999999999999,853,15
RW015,0.71799999999999997,805,15
RW016,0.69799999999999995,761,15
